feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
b78e9c4260d66a65c87ac5435c0f8d25	SampleType	Sample	1.00566551754846	0.30067965188703	12	2	0.00743214266645438	0.0413176744846955
X1263b941de1a0c2fb61d10f6b7e273da	SampleType	Sample	1.61870989384987	0.489670294622695	12	3	0.00793654667292044	0.0434540792400497
X8f51a564f763a2c7a93a85540c5763d2	SampleType	Sample	1.03009009668147	0.311695938988886	12	2	0.00794891693415543	0.0434540792400497
X41138974e340e72773d2b83a3f86e1d9	SampleType	Sample	1.03492638164222	0.313891517188208	12	2	0.00805307835358037	0.0436596644623861
X6c04fda77ffab719b8fc0280eee58e6b	SampleType	Sample	1.04097790283302	0.316645090361201	12	2	0.00818421590522291	0.0440069314248051
X11d9f4dde6fe2ad07a187337b9a2025c	SampleType	Sample	1.04941369530789	0.320494926397783	12	2	0.00836845928453385	0.0446317828508472
X8cf2d6c9fedeb3cb3dbd20d6d82eabc3	SampleType	Sample	1.05883565515444	0.3248099435281	12	2	0.0085761354319996	0.0453705229305786
X852938775fb1fa6659258dd516e1e3af	SampleType	Sample	2.27835697271067	0.700096033594204	12	9	0.00865652625620496	0.0454294497925636
X7de5958338db62682325c264856a10fd	SampleType	Sample	1.0818803804813	0.335427333619827	12	2	0.00909186733986731	0.0473354363091504
X15f70377a20620ede76a1f2a910a5fa2	SampleType	Sample	-1.64557149503212	0.518156631588165	12	8	0.00988942507337875	0.0510823846309958
X9b1518c1061247b7f49b0ef1a900914a	SampleType	Sample	-2.34238498267626	0.74212802170188	12	10	0.0102227420383717	0.0523915529466549
c1e3d6a4f2a02d70acc7c3258e889732	SampleType	Sample	1.13804927639025	0.361640783996297	12	2	0.0103874745199812	0.0528231262411445
fdfeb6cc1c0dd2132cc2a7f29fb19f7f	SampleType	Sample	-5.12469588419581	1.64280666502518	12	10	0.0108836801955621	0.0543050970454679
f86ab1314d983f8e2bbe1b89795fe084	SampleType	Sample	-2.81058765414526	0.901659047478694	12	8	0.0109272451371978	0.0543050970454679
fbb6e0f572fb123ce9333090f647c4f7	SampleType	Sample	1.15578307477046	0.370003522321518	12	2	0.0108055625408114	0.0543050970454679
f6907f697361593491030f7dc8a198aa	SampleType	Sample	1.93810316861833	0.625030728592428	12	3	0.0112350956826505	0.0554152087805922
X1e1b7ddad02acecfc72680af8f2527db	SampleType	Sample	-3.55280349892909	1.15310074691162	12	12	0.0116191250059992	0.0568816865965335
a1deaaf0aeaee1963f22f598b43bbe9a	SampleType	Sample	-4.13838558030007	1.34639679868298	12	9	0.0117668682810362	0.0571782636471092
X4e5dde1edf6195d5cc053de052ecd126	SampleType	Sample	1.20645077258548	0.394091707574081	12	2	0.0120168766334021	0.0579637578787629
X720b43663d61f720cbda595a52767410	SampleType	Sample	1.21761828188741	0.399436046389535	12	2	0.0122863893057602	0.0588311779896255
X038046812a9ff4798a07dab883adc0a2	SampleType	Sample	-4.11571003707631	1.35262359016568	12	9	0.0124039956058886	0.0589639211410355
X6ef0ba7972a3d850ab53b4cff1ecc30a	SampleType	Sample	1.2299138818826	0.405333643080456	12	2	0.0125838909438541	0.0593887227278292
X883ae30d1e8f0fb3abb2bb36086f8989	SampleType	Sample	5.91792990850459	1.95675926911066	12	5	0.0127999704817348	0.0599770045429859
faa5c0dcb53dc1ec6e0ad209e4b5f3ba	SampleType	Sample	4.18269395462353	1.38905609493391	12	4	0.0130912619512783	0.0609068641137489
b7279007573da839dc7d022d326a795c	SampleType	Sample	1.29412890786341	0.436340556794093	12	2	0.0141454047790467	0.0653167144908987
X7e6d49ee79001adc19db0967b5346d7c	SampleType	Sample	-2.61765975914791	0.88373422252589	12	8	0.0142382472137172	0.0653167144908987
X57b1ba0bd9185bc8ebed9f329a1fc9d5	SampleType	Sample	-3.22580500444348	1.09181159995438	12	10	0.0144221105426391	0.0655804960526727
a901a8cfc9728d0ffa822c9c0f345b2d	SampleType	Sample	-2.59824493412704	0.880292732720485	12	9	0.0144956889140816	0.0655804960526727
X2e6ab736cc771264acd25eedac00cf96	SampleType	Sample	2.80533174387773	0.956497073317164	12	3	0.0149657096772414	0.0672431886867834
X8f46f6c883ff0376f5cfdc149e6de56f	SampleType	Sample	1.34677407782213	0.46198403210641	12	2	0.0154268445343956	0.0688436055412485
