"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName"
"Aquiloniella_scabra","c814f16ff326fbb584191065487c8abf","Bacteria",NA,NA,NA,NA,NA,1.979,"6.037e-04","5.864e-02","Enriched in Sample","Kingdom: Bacteria"
"Aquiloniella_scabra","8940efad20d6105be9d06b29420046f8","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",-2.852,"7.236e-04","6.839e-02","Enriched in Control","Genus: Candidatus_Nitrosopumilus"
"Aquiloniella_scabra","ea35e19076b89bd364590d06ab875623","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae",NA,-1.691,"8.668e-04","7.977e-02","Enriched in Control","Family: Microtrichaceae"
"Aquiloniella_scabra","4c72850cd443f090dd217fc732228e0a","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,-2.445,"1.056e-03","9.236e-02","Enriched in Control","Family: Cyclobacteriaceae"
"Aquiloniella_scabra","a63518f4179fc9fe25dad386787f15e9","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",-1.555,"1.045e-03","9.236e-02","Enriched in Control","Genus: SM1A02"
"Aquiloniella_scabra","75bb0a0b7853fefe490cb476018ab14a","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","Candidatus_Entotheonella",-2.695,"1.120e-03","9.554e-02","Enriched in Control","Genus: Candidatus_Entotheonella"
"Aquiloniella_scabra","5d10eace291cd6e21a10aa0b539c6675","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",3.583,"1.271e-03","1.059e-01","Enriched in Sample","Genus: Chloroplast"
"Aquiloniella_scabra","27e997926a556e38007174107ce8d5c1","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,-2.005,"1.360e-03","1.106e-01","Enriched in Control","Family: Rubinisphaeraceae"
"Aquiloniella_scabra","db89d941ee5dc2935674d8799463294d","Bacteria","Proteobacteria","Gammaproteobacteria","SS1-B-07-19","SS1-B-07-19","SS1-B-07-19",-2.303,"1.585e-03","1.260e-01","Enriched in Control","Genus: SS1-B-07-19"
"Aquiloniella_scabra","1b479b5bf21e42e99e4238c1fca02aec","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-1.823,"1.673e-03","1.272e-01","Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","e0aa4a8c67cf4588b30e621b6a218c31","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,-1.075,"1.669e-03","1.272e-01","Enriched in Control","Family: Magnetospiraceae"
"Aquiloniella_scabra","8f4c101dad164251d4878936cbc25ece","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,-1.713,"1.744e-03","1.298e-01","Enriched in Control","Family: Magnetospiraceae"
"Aquiloniella_scabra","565f215f8267ea06b8cb664483dfccfb","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia",-2.24,"2.005e-03","1.460e-01","Enriched in Control","Genus: Candidatus_Tenderia"
"Aquiloniella_scabra","0302b6711c3421fd4463c37658685463","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",-1.485,"2.134e-03","1.472e-01","Enriched in Control","Genus: Arenicella"
"Aquiloniella_scabra","0e4324eee7005e82de8f34a668a35d53","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",-2.344,"2.148e-03","1.472e-01","Enriched in Control","Genus: Candidatus_Nitrosopumilus"
"Aquiloniella_scabra","9630f9ee63cc0be75cd903690c6ea353","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,-2.611,"2.296e-03","1.472e-01","Enriched in Control","Family: Magnetospiraceae"
"Aquiloniella_scabra","a5ce2abe540b5a1f42949458e9f06063","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas",-1.423,"2.118e-03","1.472e-01","Enriched in Control","Genus: Kordiimonas"
"Aquiloniella_scabra","ae6d65029da85c4ac1884b3cd9e27767","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","Candidatus_Entotheonella",-2.527,"2.287e-03","1.472e-01","Enriched in Control","Genus: Candidatus_Entotheonella"
"Aquiloniella_scabra","be8c43432dd59d95e4ed97d23a751395","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",-1.169,"2.315e-03","1.472e-01","Enriched in Control","Genus: Arenicella"
"Aquiloniella_scabra","c596dcbb7695b00a5d89cc56bc325ae3","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter",-1.576,"2.253e-03","1.472e-01","Enriched in Control","Genus: Peredibacter"
"Aquiloniella_scabra","14888fa4df557695367fd95574e2a921","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,-2.341,"2.448e-03","1.502e-01","Enriched in Control","Family: Rhodobacteraceae"
"Aquiloniella_scabra","febcdaff68e9e307509a6cf398597260","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,3.135,"2.445e-03","1.502e-01","Enriched in Sample","Class: Gammaproteobacteria"
"Aquiloniella_scabra","664ddcd6b4bdb13116e4a71964fda54f","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",1.637,"2.707e-03","1.632e-01","Enriched in Sample","Genus: Chloroplast"
"Aquiloniella_scabra","10dbbe438378754c4dc5e77443b7fac4","Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536","Ga0077536","Ga0077536",-1.135,"2.790e-03","1.632e-01","Enriched in Control","Genus: Ga0077536"
"Aquiloniella_scabra","2a945663bf660ed3f28afba31164b107","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-1.44,"2.806e-03","1.632e-01","Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","b2c7f912f0c9c47667ab4ecdc1bff415","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales",NA,NA,-1.36,"2.848e-03","1.632e-01","Enriched in Control","Order: Kordiimonadales"
"Aquiloniella_scabra","033214354a91af0c2372acdbcddf917a","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna",-2.27,"2.950e-03","1.637e-01","Enriched in Control","Genus: Ekhidna"
"Aquiloniella_scabra","0348c09cb1ff1cd1e1208e2794eea6c1","Bacteria","Proteobacteria","Gammaproteobacteria","OM182_clade","OM182_clade","OM182_clade",-0.954,"2.932e-03","1.637e-01","Enriched in Control","Genus: OM182_clade"
"Aquiloniella_scabra","2e39714a77fa4eccacec0eacd077218d","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,-2.357,"3.001e-03","1.640e-01","Enriched in Control","Family: Saprospiraceae"
"Aquiloniella_scabra","0a05ee4d171b0d8a22c44965669531a1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Algibacter",-3.157,"3.286e-03","1.650e-01","Enriched in Control","Genus: Algibacter"
"Aquiloniella_scabra","1992493418215760960c2fa2f7d391b8","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",-1.478,"3.219e-03","1.650e-01","Enriched in Control","Genus: OM190"
"Aquiloniella_scabra","2a4863a84bf70e4da20cf6cda8cc8ec2","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SCGC_AAA164-E04",-1.878,"3.172e-03","1.650e-01","Enriched in Control","Genus: SCGC_AAA164-E04"
"Aquiloniella_scabra","c39fd6fc4661167fed13f8f1f43e9966","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",2.076,"3.068e-03","1.650e-01","Enriched in Sample","Genus: Sva0996_marine_group"
"Aquiloniella_scabra","d68e97c77530e15c3774f6830604a0cc","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter",-1.865,"3.213e-03","1.650e-01","Enriched in Control","Genus: Fabibacter"
"Aquiloniella_scabra","e06db7dc9d71e1bb9d9b9abdab7f3ab9","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,-1.057,"3.303e-03","1.650e-01","Enriched in Control","Family: Phycisphaeraceae"
"Aquiloniella_scabra","094b90b37ab7cbb5661727bdf30972b8","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",-1.597,"3.372e-03","1.661e-01","Enriched in Control","Genus: Candidatus_Nitrosopumilus"
"Aquiloniella_scabra","04db8fa0f286c42335556af597b5c346","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,-2.074,"3.636e-03","1.712e-01","Enriched in Control","Family: Gimesiaceae"
"Aquiloniella_scabra","a0039c394cc495783a939e9f7213455d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter",-3.73,"3.673e-03","1.712e-01","Enriched in Control","Genus: Aquibacter"
"Aquiloniella_scabra","db66d87d00a29a7cae7f21e5385cd9e9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",1.254,"3.607e-03","1.712e-01","Enriched in Sample","Genus: Yoonia-Loktanella"
"Aquiloniella_scabra","e6acf6e76691883091b8419f0a670f59","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Reichenbachiella",-2.027,"3.617e-03","1.712e-01","Enriched in Control","Genus: Reichenbachiella"
"Aquiloniella_scabra","75db9b4fe7a0f119947425627d6891bd","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",-1.597,"3.890e-03","1.775e-01","Enriched in Control","Genus: Arenicella"
"Aquiloniella_scabra","a7233f84db0360ad7535619a0b20e8bf","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",2.231,"3.996e-03","1.775e-01","Enriched in Sample","Genus: Chloroplast"
"Aquiloniella_scabra","b5de712b93a82e4723968c0839061699","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna",-1.487,"3.918e-03","1.775e-01","Enriched in Control","Genus: Ekhidna"
"Aquiloniella_scabra","e31fbd90ae48ef4e5dbc5a70155b3022","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-3.033,"4.009e-03","1.775e-01","Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","1b894e7b3abc023b445b8edae5056a21","Bacteria",NA,NA,NA,NA,NA,-1.732,"4.563e-03","1.960e-01","Enriched in Control","Kingdom: Bacteria"
"Aquiloniella_scabra","576cd6100838c548f4cebc7657f7b79a","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",-2.214,"4.707e-03","1.960e-01","Enriched in Control","Genus: NS9_marine_group"
"Aquiloniella_scabra","a9da372ac0851e6d3f72c0d0ba8a9169","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",-1.649,"4.491e-03","1.960e-01","Enriched in Control","Genus: OM27_clade"
"Aquiloniella_scabra","b5fb61584fb688918ec8c5431cdd4547","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",-1.475,"4.708e-03","1.960e-01","Enriched in Control","Genus: OM190"
"Aquiloniella_scabra","d15bc449222795a9ff230013aa633686","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",2.338,"4.658e-03","1.960e-01","Enriched in Sample","Genus: Acinetobacter"
"Aquiloniella_scabra","0f7a2cba3ea1a42dabd1eb84a27f5927","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,-1.204,"5.090e-03","2.023e-01","Enriched in Control","Class: Alphaproteobacteria"
"Aquiloniella_scabra","169b6455530e3a2dc5bab9634bf5464d","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","Granulosicoccus",2.306,"5.078e-03","2.023e-01","Enriched in Sample","Genus: Granulosicoccus"
"Aquiloniella_scabra","3022aecd3cf0ed1b4e11f5f364b31690","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola",-1.875,"4.984e-03","2.023e-01","Enriched in Control","Genus: Paraglaciecola"
"Aquiloniella_scabra","4bb00ff635bc24788a9b5d0cf25109fd","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Marinagarivorans",-1.399,"4.982e-03","2.023e-01","Enriched in Control","Genus: Marinagarivorans"
"Aquiloniella_scabra","7dfcf4cd9861f411497dd9ec9e5b3e21","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia",-1.854,"5.213e-03","2.048e-01","Enriched in Control","Genus: Candidatus_Tenderia"
"Aquiloniella_scabra","7cd35a4b9e944317318b02eb142118e8","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,-1.265,"5.340e-03","2.075e-01","Enriched in Control","Family: Halieaceae"
"Aquiloniella_scabra","12479d8565e104f02af902b8c165c23d","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","UBA10353_marine_group","UBA10353_marine_group",-2.372,"5.519e-03","2.078e-01","Enriched in Control","Genus: UBA10353_marine_group"
"Aquiloniella_scabra","368d8403c6cc4e29e24c23cfce3bcd0f","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",-2.72,"5.512e-03","2.078e-01","Enriched in Control","Genus: Woeseia"
"Aquiloniella_scabra","6ace4e7664815b50cab6e2db8056b113","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",2.51,"5.527e-03","2.078e-01","Enriched in Sample","Genus: Chloroplast"
"Aquiloniella_scabra","d5e758ebd3c124e486293fe3fddf32cf","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",6.191,"5.822e-03","2.166e-01","Enriched in Sample","Genus: Devosia"
"Aquiloniella_scabra","185474c3dc53ff6ff5abb3d7d564841a","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",2.874,"6.198e-03","2.220e-01","Enriched in Sample","Genus: Mitochondria"
"Aquiloniella_scabra","1db2aedb3113eb91e4c997379103dce7","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",2.154,"6.221e-03","2.220e-01","Enriched in Sample","Genus: Mitochondria"
"Aquiloniella_scabra","5a9ca63a1b38151bcc148cc2c0790a3c","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-2.005,"6.101e-03","2.220e-01","Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","aadf15eecadb292d444c66b51235c196","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,-1.25,"6.202e-03","2.220e-01","Enriched in Control","Family: Cyclobacteriaceae"
"Aquiloniella_scabra","427b8ead127fc0b334406fbaca3f38d7","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)",-1.292,"6.389e-03","2.234e-01","Enriched in Control","Genus: SAR324_clade(Marine_group_B)"
"Aquiloniella_scabra","c94124146fa5319419d291ad648a77fa","Bacteria","Proteobacteria","Gammaproteobacteria","JTB23","JTB23","JTB23",-1.562,"6.382e-03","2.234e-01","Enriched in Control","Genus: JTB23"
"Aquiloniella_scabra","8188598a9b197d172cfc57da67efb2ab","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,-1.881,"6.597e-03","2.284e-01","Enriched in Control","Family: Rhodobacteraceae"
"Aquiloniella_scabra","4949fe0db03d05998d5074355e66760e","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","B2706-C7",-1.391,"6.813e-03","2.307e-01","Enriched in Control","Genus: B2706-C7"
"Aquiloniella_scabra","933db767d1b3ad87196e86e7d73f8bd1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus",-0.642,"6.861e-03","2.307e-01","Enriched in Control","Genus: Halioglobus"
"Aquiloniella_scabra","ee065ca4ce4405228c305a28f9378f58","Bacteria","Proteobacteria","Gammaproteobacteria","eub62A3","eub62A3","eub62A3",-1.138,"6.833e-03","2.307e-01","Enriched in Control","Genus: eub62A3"
"Aquiloniella_scabra","9278c3ba31355d47f18a60ce54266a48","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Lentilitoribacter",2.039,"7.152e-03","2.382e-01","Enriched in Sample","Genus: Lentilitoribacter"
"Aquiloniella_scabra","acfbc2958b95e403ef08473906cd1b07","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,-0.769,"7.412e-03","2.422e-01","Enriched in Control","Class: Gammaproteobacteria"
"Aquiloniella_scabra","f053778ac11218db2855b879731e41f6","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,1.849,"7.353e-03","2.422e-01","Enriched in Sample","Family: Rhodobacteraceae"
"Aquiloniella_scabra","ba2f196ebaf40e40a61e9436051457fe","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,-1.494,"7.596e-03","2.460e-01","Enriched in Control","Family: Bacillaceae"
