feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X03ff409687c3813261924a6f629fff78	SampleType	Sample	0.168232477420763	0.333501332437682	17	2	0.621278944352367	0.787020896032086
e330f9b7d5ec837cb1f853f827833526	SampleType	Sample	-0.127982230318569	0.253736497511857	17	2	0.621315219117213	0.787020896032086
X5da8dd7b442681c297e5a98c13bdc4b4	SampleType	Sample	-0.26871514828244	0.535710860142271	17	3	0.623227251537976	0.789031058676404
X8e5d84ca83d3dc0c96dd48901592fbb8	SampleType	Sample	-0.291755137100415	0.582556941205713	17	3	0.623767692594687	0.789303540108085
f0f732788ef67da775fd896b57bf1025	SampleType	Sample	-0.145862355941434	0.292502537287261	17	3	0.625244547393354	0.79060111125644
X553df8f491c5320e7db5eee35a62bcc7	SampleType	Sample	0.163531021728276	0.328821104423543	17	2	0.62617035109517	0.79060111125644
X652429f662390e6dff567844b2e233bc	SampleType	Sample	0.163654697016523	0.328944098805774	17	2	0.626039531776711	0.79060111125644
X44133021165ec1f91d55708a65c01f73	SampleType	Sample	-0.141814884153774	0.285364860109916	17	3	0.626421894085758	0.79060111125644
c140cd1b2758b99475a3b107aedfe2c5	SampleType	Sample	0.164198081453952	0.329484570969588	17	2	0.62546615217825	0.79060111125644
ac1c2bb601a53bac8e65b6debe661a8e	SampleType	Sample	-0.268105741392652	0.544281950228941	17	14	0.62943709176204	0.791115391872849
X93b8f4990bcff13031bb21d0feba9ef1	SampleType	Sample	-0.591384410193022	1.20051178777821	17	11	0.629420448384406	0.791115391872849
b0cfc2bcd6d42bd25931b0c9d97b9c0a	SampleType	Sample	0.356637498997118	0.721145813905766	17	12	0.628087317301307	0.791115391872849
X9bc801f7a80ecd8428deaf488161f41a	SampleType	Sample	-0.245064427965874	0.494710818329691	17	4	0.627517793032458	0.791115391872849
X608f80d21233a6261c4ca5704b5096fa	SampleType	Sample	-0.123647621015721	0.250143317494336	17	2	0.628249854251337	0.791115391872849
X2ac9a92b525560524bea4464ed2683fd	SampleType	Sample	-0.123255232996544	0.249818768320307	17	2	0.628890271293033	0.791115391872849
X8a237237cc0a223df5b2b7cb3c47ffc2	SampleType	Sample	-0.291979987123164	0.590558141341521	17	5	0.62817641527992	0.791115391872849
X7bbddf5f2769c69353ac0818cfd095da	SampleType	Sample	-0.123199585226081	0.249772751184591	17	2	0.62898126725841	0.791115391872849
X93ce69bae41a429b122e9515b6ad7d83	SampleType	Sample	-0.122712555601281	0.249370113679832	17	2	0.629779506324909	0.791136056858465
X053770c674f88fc74233d26dd695cc54	SampleType	Sample	-0.301218238150901	0.613699709915314	17	4	0.630654162202226	0.79182496206146
a701ea3d792859ee95d76be492299b56	SampleType	Sample	-0.335777188784032	0.691143791820673	17	17	0.634109285404202	0.793121226308486
a92f67f922033eb44348e4b8ae1a3d16	SampleType	Sample	0.683478770665026	1.40763364346054	17	7	0.634300906577986	0.793121226308486
X33a516f00563ddac500c9d4b43236758	SampleType	Sample	0.425004994003502	0.873326932582722	17	6	0.633539945745834	0.793121226308486
f8831fa35e481423c9bf15d3f4049536	SampleType	Sample	-0.368294545785668	0.755143172119293	17	5	0.63280331826857	0.793121226308486
b3d7c668f62042e81ea4183f4ec0efdb	SampleType	Sample	-0.490107578609747	1.0033072252003	17	6	0.632265702975644	0.793121226308486
X8f66bab95993ad5364ec8c3deb7f9480	SampleType	Sample	0.380647646035901	0.783371689974556	17	10	0.634053113827835	0.793121226308486
X77e7088850ceec846f635abbe8dda69f	SampleType	Sample	-0.217442145622781	0.447324895250125	17	4	0.633924951170716	0.793121226308486
X5f0adfcf206baf26db3d52d915b28548	SampleType	Sample	-0.120709656995054	0.247716269048152	17	2	0.633097321226106	0.793121226308486
ee6661de74f0dc0f622724754546ea35	SampleType	Sample	-0.119594936304175	0.246797221400003	17	2	0.634968625312251	0.793547298472108
X59da3ba21971969e8d421010ad4e2442	SampleType	Sample	-0.11890693605379	0.24623049769668	17	2	0.636132544405373	0.7941839944814
X3667bdb79bae37e87cc801ab34639b3e	SampleType	Sample	-0.119087934515053	0.246379553040895	17	2	0.635825674888057	0.7941839944814
b661cf07b63e11a160347be0584678b4	SampleType	Sample	-0.305988153473399	0.634411836092256	17	3	0.636542661177539	0.794287423484775
e9207667d9e1a42a8a6cf06f11434702	SampleType	Sample	-0.252475266446493	0.527150321655165	17	3	0.638885742293522	0.796801488461654
X8884593e6daeb04434eca7c7ea8728ce	SampleType	Sample	-0.371004936637764	0.776488223227728	17	4	0.639681769466095	0.797292417841352
X05b6f1512bcf69736ac3713898a56f66	SampleType	Sample	0.151108605320692	0.316502614530387	17	2	0.639936394707439	0.797292417841352
ba401d97a3d1fd259b0c9abfb61197a6	SampleType	Sample	0.125466743595966	0.264094734645594	17	3	0.641571870881887	0.79876055666988
be04e5a5f333faeeb89b7922cc154ccb	SampleType	Sample	0.388342843537298	0.818734248460339	17	4	0.642102120339075	0.79876055666988
X68a8a0e2cdb98b1503d6062e8a21153b	SampleType	Sample	0.163228731761481	0.343962169773192	17	4	0.641939599495048	0.79876055666988
X3c406d57ff34fbce9c8690992bdc5f5d	SampleType	Sample	-0.450346005119004	0.951568966544533	17	8	0.64283666133357	0.79926463988554
X8e797b9bf5b1d55c523d094de494888b	SampleType	Sample	0.262105127338805	0.559297303537419	17	5	0.646070033975951	0.802873513804215
ff2e65ab7ee1a994f929993a4cd98b2d	SampleType	Sample	0.329632286522421	0.704864674066207	17	7	0.646754531172449	0.803142143751493
X7111dfa20d08ec967e55b337db0875ea	SampleType	Sample	0.143399511651359	0.30889569822751	17	2	0.649147138237658	0.803142143751493
X8d10ba9ecc60725589a151d802507cb8	SampleType	Sample	0.464442252656529	0.998388047111283	17	4	0.648475691859543	0.803142143751493
b5e4e36584078c5544e0382e9245ccaf	SampleType	Sample	-0.111503465399738	0.240157380500964	17	2	0.649104769130817	0.803142143751493
fdea1742287c08bae060174c36a75564	SampleType	Sample	0.180558308525931	0.389790565138645	17	4	0.649857199373167	0.803142143751493
X260cf5726fb8fff97552a77b6401a9c0	SampleType	Sample	0.278112285191859	0.600518711611984	17	5	0.649926316575168	0.803142143751493
X8439878c2539bca397c91c2cf9a281fa	SampleType	Sample	-0.111205661821856	0.23991408716364	17	2	0.649644234180208	0.803142143751493
d7c33882ba48ddeee37712e1dd95291e	SampleType	Sample	0.144479502875284	0.3099595311446	17	2	0.647823926742167	0.803142143751493
X068d88d98dec7846b3f8a172f4042674	SampleType	Sample	0.162801700805663	0.349436264652265	17	3	0.64798175202185	0.803142143751493
c931bba869089d3dab800f822d3c2714	SampleType	Sample	-0.111419219978178	0.240088547418396	17	2	0.64925723566578	0.803142143751493
X6a7d9908806f5f833730b5dcb318948c	SampleType	Sample	-0.111431700706139	0.240098744451664	17	2	0.649234641088122	0.803142143751493
X00107bdafa378f95637473669a5b62cc	SampleType	Sample	-0.266644170973045	0.580614064578691	17	3	0.652643126829677	0.806088991763678
X420a7e9189ee45140114a4c7dfafcd5e	SampleType	Sample	0.139777947245073	0.305332863732524	17	2	0.653665527552134	0.806941116667868
fd378a4547ac236b57eaaa8f4a03bfc4	SampleType	Sample	-0.181757346150038	0.397794721996013	17	4	0.654281072880083	0.807290373096066
X4d375362825e9fd1a68050a148667590	SampleType	Sample	0.0990613387749926	0.21796056237679	17	3	0.655982528850907	0.807747132177144
X727b8389b538dd0b722a5ef79a07c175	SampleType	Sample	-0.208983061571529	0.459518956298541	17	4	0.65577535382682	0.807747132177144
X705f5d0a989ba0710a478c1374551909	SampleType	Sample	-0.107872510034546	0.23719649960203	17	2	0.655779144288181	0.807747132177144
a2faeb0726a585595ef31b573bd21881	SampleType	Sample	-0.108154884676968	0.237426332295002	17	2	0.655252426105991	0.807747132177144
X0071e3a7018acbb96f3a73be20821daf	SampleType	Sample	-0.107344590844824	0.236767009107316	17	2	0.656767399139293	0.808303487683095
X1221a418fe7897e1c143b4facb261233	SampleType	Sample	-0.106489186958425	0.236071642696984	17	2	0.658378490546382	0.809875619136376
cd07a64ceddbf8311cb8a72075cbfa67	SampleType	Sample	-0.412282053261489	0.920470181318739	17	11	0.660623847840281	0.811149841396309
d5fefa6a95119dbe2aa218d7e707b6b6	SampleType	Sample	0.411502199501891	0.919355143296901	17	6	0.660839081637485	0.811149841396309
X9a39e55dd18c687bfcd64fad3aa56174	SampleType	Sample	0.128745754662873	0.287585331810132	17	3	0.660782831696037	0.811149841396309
X883c621a94c8c41fb099d57470e16755	SampleType	Sample	-0.105066323273831	0.234916504981576	17	2	0.661085449642316	0.811149841396309
X1e56591e48022cd75744a0735eb9b273	SampleType	Sample	-0.105732442571317	0.235457049239704	17	2	0.659813937490752	0.811149841396309
